config,science,cost
000000000000101000010000000000010010010000000001000000000000,0.09890363874999997,1766.517231188839
010000000011100000000000000000000010000010000000000000000000,0.11013085532766807,2409.0814082283223
000000000000101000110000000010001010000001000000100010001000,0.12889683838941046,5944.6293875058045
000000110011001001010000000000010010010000010001000000000000,0.13071663987312898,4055.810051217449
000000001000000000010000000000100100010000000000001010000000,0.04498643448108941,4267.724475647544
000000110011001000000000000001000001000000000010000000000000,0.12731541778100186,3366.2505610821318
000000100100000010110110100010100000000001000000100010011010,0.1620089847897167,8690.722817016462
000000100100000000000000000010000001010000000000000000000000,0.11338902944777507,2205.5864808748747
000000000000000000000001001000000000000000010000000000000000,0.05643801937500004,1208.2440756847536
000000000000000000010000000010000001000000000001000000000000,0.07100906432499997,1408.6580850109058
000000110011001001000000000000100000000000000000000000000000,0.1189264788751674,3489.8384929268673
000000110011001001010000000000100100010000100001000000000010,0.15802478464812894,5208.40860844824
000000100101000010110110100010100000000000000000000000100000,0.10481736586407776,6552.648271217753
000000110011000000010000000000000000000000100000000000000000,0.11281012058750005,1516.27842579
000000000000000000000100000000000000000000010000000000000000,0.046922313256621,612.756825251803
000010000001100000000000000000011000000001000000100011001000,0.13994885673742466,5480.220885041707
000000000000000000000001000000000000100010000000000000000000,0.06768475610499469,1742.378451311912
000000001000000010110110100010100000010001000000100010011010,0.14859732309593174,8593.916634978983
000000000000001000000000000000000000000000000000000000000000,0.0022939537499999663,683.3697556285204
000000100100001000000000000000000001000000010000001010000000,0.13444876847975173,4271.819723855704
000000100100001000000000000000000001000000010000001010010000,0.1630027958703404,4378.463475188909
000000100100000010110110100010100000010001000000100010000000,0.12405101193803902,8239.124797589919
001000000000000000000000000000000000010000000000000000000000,0.0022939537499999663,942.0405698588803
010000000001000001010000000000000000000000100000000000000000,0.12944303742697594,2080.592072148468
000000110000000000000000000001000000000000000000010000000000,0.09980209199117997,1758.9000649414304
000010110000000000000000000001000001010001001000000000000000,0.09202769265420664,4202.7159908843205
000000000100000000010000000000010010010000000001000000000100,0.11897929737581235,1892.8914890823705
000000100100000000010000000010000001000110000001000000000000,0.14891174408953678,4124.072281884314
000000100100000000001000000000000001000000000000000000000000,0.1194726495779529,2080.572838654109
000000110011001001110000000000010010010000010000000000001000,0.1684783913916651,5136.540149887075
000000110000000100000000000001000001000010000001000000000000,0.13391656887269746,4390.777681526003
000000000000000000000001000000000000000010010000001010010000,0.11108556980216756,3277.4530159697906
000000100100000100010000000010000001000010000001000000000000,0.14451345964668771,4361.657177920671
000000100100000000000000000000000000000000000000000000000000,0.06428298736535941,1047.4021947284205
